Title,Address,Latitude,Longitude,Phone,Website,Email,volunteer-email,volunteer-website,volunteer-phone,Notes,Category,PlaceID,Source,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Image
Action For Community Empowerment - Ace - Food Distribution Center,"1 W 125th St, New York, NY 10027, USA",40.8066002,-73.9423267,(212) 996-6388,,,,,,,Food bank,ChIJr08DhAz2wokR1TBBe5XEjyA,AP,,,,,,,,
Acts Community Development Corp - Food Distribution Center,"2114 Mermaid Ave, Brooklyn, NY 11224, USA",40.5760102,-73.9884012,+1 718-415-1170,http://actsnyc.org/home.aspx,,,,,,Food bank,ChIJi-K5JcpFwokRdV8eIKDzo2k,AP,"Monday,2 to 5pm","Tuesday,9am to 7pm","Wednesday,2 to 7:30pm","Thursday,9am to 5pm","Friday,2 to 7:30pm","Saturday,Closed","Sunday,11am to 2pm",
Administration For Children's Services (tasa - Teenage Services Act Program) - Food Distribution Center,"2551 Bainbridge Ave # F44, Bronx, NY 10458, USA",40.862831,-73.8933154,(718) 220-6686,,,,,,,Food bank,ChIJZ0v45oDzwokRrbPcu6ENiEk,AP,,,,,,,,
"Admirable Church, Inc.","1910 Flatbush Ave, Brooklyn, NY 11210, USA",40.6231123,-73.9377387,(347) 779-7192,,,,,,,Food bank,ChIJl95At6lEwokRn0AbSO8pzWw,OM,closed,closed,closed,closed,closed,10:00 AM - 12:00 PM,closed,
Advent Lutheran Church - Community Lunch - Soup Kitchen Food Pantry,"2504 Broadway, New York, NY 10025, USA",40.7927122,-73.9726722,(212) 665-2504,https://www.adventnyc.org/,sergio@adventnyc.org,,,,,Food bank,ChIJq6p6ooJYwokRfxNfwxygYQw,AP,,,,,,,,
"Advocates For Children Of New York, Inc. - Food Distribution Center","151 W 30th St, New York, NY 10001, USA",40.7483214,-73.9918488,(212) 947-9779,http://www.advocatesforchildren.org/,info@advocatesforchildren.org,,,,,Food bank,ChIJL5H9p69ZwokReONrBlRlaVM,AP,,,,,,,,
Africa Redemption Alliance Pantry - Food Distribution Center,"1299 College Ave, Bronx, NY 10456, USA",40.835437,-73.912101,,,,,,,,Food bank,ChIJv1NNiUf0wokROFPmdDKIKJM,AP,,,,,,,,
African Americans For Bread Not For Bombs - Food Distribution Center,"260 Quincy St, Brooklyn, NY 11216, USA",40.6868134,-73.9510963,(718) 783-5761,,,,,,,Food bank,ChIJ4WqQ0ZNbwokRzQFTxrZmI8U,AP,,,,,,,,
African Services Committee,"429 W 127th St, New York, NY 10027, USA",40.8117964,-73.9544556,(212) 222-3882,,,,,,,Food bank,ChIJwTismmv2wokREj6IJQgstEw,OM,09:00 AM - 05:00 PM,09:00 AM - 05:00 PM,09:00 AM - 05:00 PM,09:00 AM - 05:00 PM,09:00 AM - 05:00 PM,closed,closed,
African Women's Dream Inc. - Food Distribution Center,"1262-22 150th St, Jamaica, NY 11435, USA",40.6725493,-73.7881849,(718) 558-6058,,,,,,,Food bank,ChIJDdBED9xmwokRot8U1PpEu9M,AP,,,,,,,,
African Womens Dream - Food Distribution Center,"159-19 Hillside Avenue, Jamaica, NY 11432, USA",40.708146,-73.802142,,,,,,,,Food bank,ChIJ5UBkwN1gwokRiYKUUsdZBIc,AP,,,,,,,,
Afscme - Food Distribution Center,"125 Barclay St, New York, NY 10007, USA",40.7142855,-74.0128496,,,,,,,,Food bank,ChIJxSQ9-htawokR_u_9WRCtSwA,AP,,,,,,,,
Agape Christian Center,"59-02 Summerfield St, Queens, NY 11385, USA",40.6982779,-73.8977049,(347) 423-6724,,,,,,,Food bank,ChIJN9mRJylcwokRII1gQ3gBxUM,OM,closed,closed,closed,closed,closed,10:00 AM - 11:30 AM,closed,
Agape Social Services Beulah Church,"956 Marcy Ave, Brooklyn, NY 11216, USA",40.6803918,-73.9464757,(347) 336-9251,,,,,,,Food bank,ChIJWSh0X4VbwokRqnm6bRIxHd0,OM,closed,10:30 AM - 02:00 PM,closed,10:30 AM - 02:00 PM,closed,closed,closed,
Agatha House Foundation,"4471 Mundy Ln, Bronx, NY 10466, USA",40.8865032,-73.8411482,(646) 335-2334,,,,,,,Food bank,ChIJW9r7pzKNwokRxld_FbfzDoY,OM,closed,closed,closed,closed,04:30 PM - 06:30 PM,01:00 PM - 03:00 PM,closed,
Aids Center of Queens County,"62-07 Woodside Ave, Queens, NY 11377, USA",40.7440704,-73.9028941,(718) 472-9400,,,,,,,Food bank,ChIJ1ytzEh1fwokRhLPYTxtzZ0o,OM,closed,10:00 AM - 12:00 PM,closed,10:00 AM - 12:00 PM,closed,closed,closed,
Aids Center of Queens County,"1600 Central Ave, Far Rockaway, NY 11691, USA",40.6051736,-73.7522446,(718) 868-8645,,,,,,,Food bank,ChIJE6HulwFmwokRL334XZl17k8,OM,closed,closed,closed,closed,10:30-12:00,closed,closed,
Aids Center Of Queens County - Food Distribution Center,"The Contour, 97-45 Queens Blvd, Queens, NY 11374, USA",40.7295363,-73.8594667,(718) 896-2500,http://www.acqc.org/,,,,,,Food bank,ChIJxZu_0jBewokRG9Mn8GUvrFM,AP,"Monday,Closed","Tuesday,8:30 to 9AM","Wednesday,Closed","Thursday,8:30 to 9AM","Friday,Closed","Saturday,Closed","Sunday,Closed",
AIDS Center of Queens County - Food Distribution Center,"89-74 162nd St, Jamaica, NY 11432, USA",40.7047249,-73.798159,(718) 739-2525,,,,,,,Food bank,ChIJASSI2d5gwokRLsF_jWXHre8,AP,"Monday,Closed","Tuesday,9 to 11AM","Wednesday,Closed","Thursday,9 to 11AM","Friday,Closed","Saturday,Closed","Sunday,Closed",
Aids Service Center Of Lower Manhattan - Food Distribution Center,"80 Fifth Avenue, 80 5th Ave, New York, NY 10011, USA",40.735935,-73.9941,,,,,,,,Food bank,ChIJS6ztGZhZwokRVz06m8ilnog,AP,"Monday,10am to 4pm","Tuesday,10am to 4pm","Wednesday,10am to 4pm","Thursday,10am to 4pm","Friday,10am to 4pm","Saturday,10am to 4pm","Sunday,10am to 4pm",
Aids Treatment Technical Assistance Council Of N. Y. - Food Distribution Center,"108-50 62nd Dr, Flushing, NY 11375, USA",40.7359605,-73.8492486,(718) 896-4622,,,,,,,Food bank,ChIJaxRktSxewokRmb9K4n0l_M0,AP,"Monday,Closed","Tuesday,Closed","Wednesday,Closed","Thursday,Closed","Friday,Closed","Saturday,Closed","Sunday,9AM to 5PM",
Aishel Shabbat,"1002 Quentin Rd, Brooklyn, NY 11223, USA",40.6075013,-73.962747,(646) 229-1126,,,,,,,Food bank,ChIJY794XuxEwokRL-wcWcrHwDE,OM,08:00 PM - 10:00 PM,closed,closed,closed,closed,closed,closed,
All Angels Church - Food Distribution Center,"251 W 80th St, New York, NY 10024, USA",40.784962,-73.979984,(212) 362-9300,http://www.allangelschurch.com/,,,,,,Food bank,ChIJ3R-9MoZYwokRuL4L30wieno,AP,"Monday,Closed","Tuesday,8:30 to 11AM","Wednesday,Closed","Thursday,8:30 to 11AM","Friday,Closed","Saturday,Closed","Sunday,Closed",
All Nations Baptist Church of Woodhaven - Food Distribution Center,"86-74 80th St, Jamaica, NY 11421, USA",40.6917296,-73.8622247,(718) 847-4229,https://allnationsbaptist.org/food-pantry/,info@allnationsbaptist.org,,,,,Food bank,ChIJA3ag4-ZdwokRiQy_6i6BXIg,AP,closed,closed,closed,closed,closed,10:00 AM - 11:00 AM,closed,
All People's Church - Food Distribution Center,"182 Tompkins Ave, Brooklyn, NY 11206, USA",40.6928541,-73.9459398,(718) 782-3703,,,,,,,Food bank,ChIJFVqM9vJbwokRrtzAs5qPQZY,AP,,,,,,,,
All People's Church Of Apostles - Food Distribution Center,"422 Gates Ave, Brooklyn, NY 11216, USA",40.6862084,-73.9493224,(718) 387-0675,,,,,,,Food bank,ChIJM5NrIJJbwokRmSFfW4EeYwE,AP,,,,,,,,
All Saints Episcopal Church,"2329 Victory Blvd, Staten Island, NY 10314, USA",40.6116645,-74.1417835,(718) 698-1338,https://www.allsaintswillowbrook.org/,allsaintsepiscopal@me.com,,,,"Food will be given to qualified applicants during the following hours of operation:
- Wednesday from 4:00 pm to 6:00 pm
- Friday from 2:00 pm to 4:00 pm
For more information, please call the organization.",Food bank,ChIJb34w0zBMwokRD7Hry0OIvLs,AP,"Monday,Closed","Tuesday,11AM to 6AM","Wednesday,Closed","Thursday,11PM to 12AM","Friday,12AM to 6PM","Saturday,11AM to 6PM","Sunday,8AM to 10PM",
All Saints Episcopal Church - Food Distribution Center,"230 E 60th St, New York, NY 10022, USA",40.7614278,-73.9650489,(212) 758-0447,http://allsaintsnyc.org/,info@allsaintsnyc.org,rulenyc@yahoo.com,,,"Hours of Operation:
Saturday: 5:00 PM - 6:00 PM
For more information, please call.",Food bank,ChIJ4aHyC-ZYwokRtFJSK-Pw3B4,AP,,,,,,,,
All Saints Food Pantry - Food Distribution Center,"47 E 129th St, New York, NY 10035, USA",40.8084859,-73.9382037,,,,,,,,Food bank,ChIJY5_ZL3X2wokR6UfDbpRqEr0,AP,,,,,,,,
All Saints Lutheran Parish - Food Distribution Center,"585 E 163rd St, Bronx, NY 10456, USA",40.824201,-73.907829,(718) 589-6321,,,,,,,Food bank,ChIJ0YDlRkv0wokRaL3jYNrBXJk,AP,,,,,,,,
Allen A.M.E. Cathedral - Food Distribution Center,"110-31 Merrick Blvd, Queens, NY 11433, USA",40.6950479,-73.7815324,(718) 206-4600,https://www.allencathedral.org/,info@allencathedral.org,,,,"Hours of Operation:
Monday and Thursday from 11:00 AM to 1:00 PM.
For further details, kindly contact them.",Food bank,ChIJjTBARzBhwokRktbtU0SSxSI,AP,"Monday,3 to 5PM","Tuesday,Closed","Wednesday,Closed","Thursday,12 to 2PM","Friday,Closed","Saturday,Closed","Sunday,Closed",
Allen Memorial Ame Church - Food Distribution Center,"944 Rogers Ave, Brooklyn, NY 11226, USA",40.647197,-73.952403,(718) 282-7860,,,,,,,Food bank,ChIJqTty9ENbwokR0MArhqnPH-w,AP,,,,,,,,
Allen Outreach Ministry Feeding Program,"111-54 Merrick Blvd, Jamaica, NY 11433, USA",40.6928912,-73.7805579,(718) 465-2802,,,,,,,Food bank,EisxMTEtNTQgTWVycmljayBCbHZkLCBKYW1haWNhLCBOWSAxMTQzMywgVVNBIjASLgoUChIJSVMbrzFhwokRa_ZvRW3ELnQQNioUChIJLxYWrU9hwokRF23gpprefSc,OM,05:00 PM - 07:00 PM,closed,closed,10:00 AM - 02:00 PM,closed,closed,closed,
Almacen de Jose - Food Distribution Center,"4717 7th Ave, Brooklyn, NY 11220, USA",40.643562,-74.004394,+1 718-435-4914,,,,,,,Food bank,ChIJtW9qOspawokRDufIdosw0Xo,AP,,,,,,,,
Altrmont/820 River Street Inc. - Food Distribution Center,"108-30 Sutphin Blvd, Jamaica, NY 11435, USA",40.6921684,-73.7988892,(718) 658-0581,,,,,,,Food bank,ChIJo3PrW9RgwokRzW9Ls2DWEJI,AP,,,,,,,,
American Jewish World Service - Food Distribution Center,"45 W 36th St., New York, NY 10018, USA",40.7506766,-73.9855374,,http://www.ajws.org/,ajws@ajws.org,,,,,Food bank,ChIJq6WQKapZwokRYw_j9rj9fAk,AP,,,,,,,,
American Red Cross In Greater Ny - Food Distribution Center,"150 Amsterdam Ave, New York, NY 10023, USA",40.775417,-73.984572,,,,,,,,Food bank,ChIJ27pnc2BYwokR9Kis0xA2Mhk,AP,,,,,,,,
American Women's Economic Development Corporation - Food Distribution Center,"216 E 45th St, New York, NY 10017, USA",40.7520742,-73.9721749,(917) 368-6100,,,,,,,Food bank,ChIJcSeKxgJZwokRKTUz-LFGLsw,AP,,,,,,,,
Ammi Evangelical Baptist Church - Food Distribution Center,"1799 Flatbush Ave, Brooklyn, NY 11210, USA",40.626318,-73.940413,(718) 692-3925,,,,,,,Food bank,ChIJs3n86atEwokRRyZM8BJVYss,AP,"Monday,Closed","Tuesday,Closed","Wednesday,Closed","Thursday,Closed","Friday,Closed","Saturday,12:30 to 2PM","Sunday,Closed",
Angela House - Food Distribution Center,"3323 Steuben Ave, Bronx, NY 10467, USA",40.878985,-73.881373,(718) 231-7592,,,,,,,Food bank,ChIJRWW3ywzzwokRzU2WxWv5zsc,AP,,,,,,,,
Apna Brighton Beach Food Pantry,"211 Neptune Ave, Brooklyn, NY 11235, USA",40.5819631,-73.9614028,(718) 513-4700,http://www.apnabrooklyn.com/,info@apnabrooklyn.com,,,,,Food bank,ChIJXZ3h8UJEwokRrgdTwaNxCRk,AP,"Monday,9AM to 5PM","Tuesday,9AM to 5PM","Wednesday,9AM to 5PM","Thursday,9AM to 5PM","Friday,9AM to 5PM","Saturday,9AM to 5PM","Sunday,Closed",
Apostolic Assembly of Jesus Christ - Food Distribution Center,"3808 Church Ave, Brooklyn, NY 11203, USA",40.6509902,-73.9415956,(718) 669-0739,https://www.freefood.org/l/ny_11203_apostolic-assembly-of-jesus-christ#,,,,,"Every Saturday from 1:00 p.m. to 3:00 p.m. For further information, please call.",Food bank,ChIJ_3htsmBbwokRyjX5hnOldK4,AP,"Monday,Closed","Tuesday,Closed","Wednesday,Closed","Thursday,Closed","Friday,Closed","Saturday,1 to 3PM","Sunday,Closed",
Apostolic Assembly Of Jesus Christ Inc. - Food Distribution Center,"187 E 38th St, Brooklyn, NY 11203, USA",40.65262,-73.941762,,,,,,,,Food bank,ChIJgZPp1GBbwokRO7XAjtSiZoo,AP,,,,,,,,
Argus Community Inc. - Food Distribution Center,"760 E 160th St, Bronx, NY 10456, USA",40.8203261,-73.9047409,(718) 401-5760,http://www.arguscommunity.org/,info@arguscommunity.org,,,,,Food bank,ChIJW6grp7P1wokR8Oev_x91CX4,AP,,,,,,,,
Ash-Shifaa Inc. - Food Pantry,"2269 Crotona Ave, Bronx, NY 10457, USA",40.8516367,-73.8850547,(646) 353-0859,,,,,,,Food bank,ChIJf_oiW4b0wokRFQSY1rjrEEU,AP,"Monday,1 to 5PM","Tuesday,1 to 5PM","Wednesday,1 to 5PM","Thursday,1 to 5PM","Friday,2 to 5PM","Saturday,Closed","Sunday,Closed",
Asian Americans For Equality Inc - Food Distribution Center,"111 Division St, New York, NY 10002, USA",40.714243,-73.992299,+1 212-964-2288,http://www.aafe.org/,,,,,,Food bank,ChIJQZ8e-ShawokRwxzmWgCQO3c,AP,,,,,,,,
Association To Benefit Children (abc) - Food Distribution Center,"419 East 86th St, New York, NY 10028, USA",40.776764,-73.94839,(212) 831-1322,,,,,,,Food bank,ChIJIy69erpYwokRqRJ98hsKBhc,AP,,,,,,,,
Assumption Saint Paul - Food Pantry,"53 St Marks Pl, Staten Island, NY 10301, USA",40.6471456,-74.0848571,(718) 727-2672,https://www.assumptionstpaulsi.com/food-pantry,assumptionstpaulsi@gmail.com,,,,"Pantry Opening Hours:
Every Wednesday from 1:00 p.m. to 2:00 p.m.
Mobile Food Pantry Distribution Hours in the following Locations:
- First Tuesday at St. Peter's, 53 St. Mark's, from 10:30 a.m. to 11:00 a.m.
- Monday and Tuesday at St. Peter's, 53 St. Mark's Place, from 10:30 a.m. to 11:00 a.m.
- Third Tuesday at St. Peter St. Paul School, 145 Clinton Ave., from 10:30 a.m. to 11:00 a.m.
- Wednesday, Thursday, and Tuesday when needed at St. Peter's School, 145 Clinton Ave., from 10:30 a.m. to 11:00 a.m.
Requirements Needed:
- Bring Photo ID
- One service per household per month
- You must be at least 18 years old to receive food.
Languages:
- Spanish
Please call for further information.",Food bank,ChIJ__8vFilOwokRktQRLcPDQYQ,AP,,,,,,,,
Astor Child Guidance Center - Food Distribution Center,"750 Tilden St, Bronx, NY 10467, USA",40.8767729,-73.8627891,(718) 231-3400,,,,,,,Food bank,ChIJu4SOnD_zwokR4MynXU1IDDw,AP,,,,,,,,
Astoria - Food Distribution Center,"4-25 Astoria Blvd, Astoria, NY 11102, USA",40.7730694,-73.9329291,,,,,,,,Food bank,ChIJsc2-fUxfwokRFVGZOCb5uVk,AP,,,,,,,,
Astoria Food Pantry,"25-82 Steinway St, Long Island City, NY 11103, USA",40.7660749,-73.9135123,,http://astoriafoodpantry.com/,astoriafoodpantry@gmail.com,,,,,Food bank,ChIJs3HN62xfwokRLS7PC2pTTqk,AP,"Monday,8AM to 12PM, 6 to 8PM","Tuesday,Closed","Wednesday,10AM to 4PM","Thursday,7 to 8:30PM","Friday,Closed","Saturday,8AM to 2PM","Sunday,Closed",
Atonement Lutheran Church,"30-61 87th St, East Elmhurst, NY 11369, USA",40.7580608,-73.8811177,(718) 639-6074,,,,,,,Food bank,ChIJpUZBcaJfwokR_xSIJnzslLU,OM,closed,closed,closed,8:00-9:00AM,closed,,closed,
B-healthy! - Food Distribution Center,"260 St James Pl, Brooklyn, NY 11238, USA",40.6824446,-73.9638911,(917) 312-7184,,,,,,,Food bank,ChIJfQB5OKNbwokRhLTmd5v7nFE,AP,,,,,,,,
B.f.f.y Commodity Supplemental Food Program - Food Distribution Center,"89-56 162nd St, Queens, NY 11432, USA",40.7050569,-73.798407,(718) 523-2220,,,,,,,Food bank,ChIJEZ_u3N5gwokRrSUD9GR3h_k,AP,,,,,,,,
B.t. Roberts Food Pantry - Food Distribution Center,"120 16th St, Brooklyn, NY 11215, USA",40.6658087,-73.9918477,(347) 529-4616,,,,,,,Food bank,ChIJBaXc4eRawokRQaA0mlzgK9A,AP,,,,,,,,
Bailey House Inc. Adult & Family,"1751 Park Ave, New York, NY 10035, USA",40.8013633,-73.9403842,(929) 290-3969,,,,,,,Food bank,ChIJmVpyaAn2wokRCvg5EWwmKHo,OM,closed,closed,01:00 PM - 04:00 PM,closed,closed,closed,closed,
Bank Street Head Start - Food Distribution Center,"University Hall, 113 E 13th St, New York, NY 10003, USA",40.733371,-73.9890135,,http://www.bankstreet.edu/,helpdesk@bankstreet.edu,,,,,Food bank,ChIJzfOgLJlZwokRa8YcbAZxi7g,AP,,,,,,,,
Basil,"345 Brehaut Ave, Staten Island, NY 10307, USA",40.5110484,-74.2380764,,,,,,,,Food bank,ChIJ5zSoeBPLw4kR-crsxHXDjiY,AP,,,,,,,,
Basilica of Our Lady of Perpetual Help,"545 60th St, Brooklyn, NY 11220, USA",40.6388378,-74.0145427,(347) 603-3738,,,,,,,Food bank,ChIJIcST5UxFwokRhJbv0o_OA2w,OM,closed,closed,closed,closed,closed,10:30 AM - 12:00 PM,closed,
Battalion Pentacostal - Food Distribution Center,"454 Beach 67th St, Arverne, NY 11692, USA",40.594258,-73.7960993,(718) 634-7172,,,,,,,Food bank,ChIJAS-F7GFowokR0SOnATOHd9I,AP,"Monday,Closed","Tuesday,Closed","Wednesday,12 to 1:30PM","Thursday,Closed","Friday,Closed","Saturday,Closed","Sunday,Closed",
Bay Ridge Community Service Center - Food Distribution Center,"411 Ovington Ave, Brooklyn, NY 11209, USA",40.6337553,-74.0234482,(718) 748-0650,http://www.bayridgecenter.com/,,,,,,Food bank,ChIJq6q6yFBFwokRTPi5xpGhgK8,AP,"Monday,8AM to 4PM","Tuesday,8AM to 4PM","Wednesday,8AM to 4PM","Thursday,8AM to 4PM","Friday,8AM to 4PM","Saturday,Closed","Sunday,Closed",
Bay View Houses Resident Association,"2085 Rockaway Pkwy, Brooklyn, NY 11236, USA",40.6330489,-73.8867909,,,,,,,,Food bank,ChIJBXh72iddwokR5ujGsgDD-80,OM,closed,closed,closed,10:00 AM - 01:00 PM,closed,closed,closed,
Be The Catalyst - Food Distribution Center,"60 W 13th St, New York, NY 10011, USA",40.736284,-73.996774,+1 917-658-9151,,,,,,,Food bank,ChIJ71L1xpdZwokRC6e4qEDMXFs,AP,,,,,,,,
"Bec New Communities, Inc. - Food Distribution Center","67 Hanson Pl, Brooklyn, NY 11217, USA",40.685615,-73.9749889,(718) 858-8803,,,,,,,Food bank,ChIJBZnsxbFbwokRcAmnFlpA2uE,AP,,,,,,,,
Bed Stuy's Project Re-generation - Food Distribution Center,"679 Lafayette Ave, Brooklyn, NY 11216, USA",40.6905311,-73.9467833,(718) 684-1014,http://www.pr-g.org/,,,,,,Food bank,ChIJqxnlTI1bwokROt1JmGWq22U,AP,,,,,,,,
Bed-Stuy - Food Distribution Center,"2750 Throop Ave, Brooklyn, NY 11206, USA",40.692358,-73.942807,,,,,,,,Food bank,ChIJpUf7dvNbwokR315tJbs2oNI,AP,,,,,,,,
Bedford Central Presbyterian Church - Food Distribution Center,"1200 Dean St, Brooklyn, NY 11216, USA",40.6766445,-73.9496051,(718) 467-0740,,,,,,,Food bank,ChIJQekuZJtbwokRv6WHKYCQyDE,AP,,,,,,,,
Belize NYC,"1113 Grant Ave, Bronx, NY 10456, USA",40.8311874,-73.9167618,,http://www.belizenyc.com/,,,,,,Food bank,ChIJXTOwN-X1wokRY4hZRfJqC4E,AP,"Monday,Closed","Tuesday,6PM to 12AM","Wednesday,6PM to 12AM","Thursday,6PM to 12AM","Friday,6PM to 12AM","Saturday,6PM to 12AM","Sunday,Closed",
Bensonhurst Council of Jewish Organizations - Food Distribution Center,"8635 21st Ave, Brooklyn, NY 11214, USA",40.6023475,-73.9966579,+1 718-333-1834,,,,,,,Food bank,ChIJDdmQ6QhFwokR6rIhCuVTrIM,AP,closed,10:00 AM - 04:00 PM,closed,closed,closed,closed,,
Beraca SDA Church,"91-19 191st St, Queens, NY 11423, USA",40.7105325,-73.7684402,(347) 484-0913,,,,,,,Food bank,ChIJebRF_2xhwokRqjNO-QghIbA,OM,closed,closed,10:00 AM - 11:00 AM,closed,closed,closed,closed,
Berean Baptist Chruch - Food Distribution Center,"49 Bergen St, Brooklyn, NY 11201, USA",40.6872974,-73.9912714,+1 718-778-5797,http://www.bereanbaptist.org/,info@bereanbaptist.org,,,,,Food bank,ChIJiekfKU5awokRNsXpkZ-_IQs,AP,,,,,,,,
Berean Baptist Church - Food Distribution Center,"1641 Bergen St, Brooklyn, NY 11213, USA",40.675166,-73.928604,+1 718-778-5797,,,,,,,Food bank,ChIJK2zct3tcwokRYmJPbrLLz8o,AP,,,,,,,,
Beth Hark Christian Counseling - Food Distribution Center,"1832 Madison Ave, New York, NY 10035, USA",40.8023207,-73.9434269,(212) 860-1523,https://www.bethharkccc.org/,michellerobinson@bethelga.org,,,,"Hours of Operation:
- Soup Kitchen: Wednesday and Thursday from 12:00 PM to 2:00 PM
- Food Pantry: Tuesday from 1:00 PM to 5:00 PM
Please note that an ID is required for the first visit. For more information, please call the organization.",Food bank,ChIJ3e4Y6A72wokR7XkQ__7Aw74,AP,-,12:00 PM - 03:30 PM,closed,closed,closed,closed,closed,
Bethanie French Seventh Day Adventist Church - Food Pantry,"2059 Bedford Ave, Brooklyn, NY 11226, USA",40.6544041,-73.9559831,+1 718-600-2334,,,,,,,Food bank,ChIJq6quUWpbwokRGdWWmiTUv3E,AP,"Monday,Closed","Tuesday,Closed","Wednesday,Closed","Thursday,Closed","Friday,2 to 4pm","Saturday,Closed","Sunday,Closed",
Bethany Baptist Church Of Jamaica - Food Distribution Center,"110-47 157th St, Queens, NY 11433, USA",40.6905147,-73.7921338,(718) 659-6099,,,,,,,Food bank,ChIJde6G_iphwokRNdDoqFF-Rbw,AP,,,,,,,,
Bethany United Methodist Church - Food Distribution Center,"1208 St Johns Pl, Brooklyn, NY 11213, USA",40.6706776,-73.9382508,(718) 774-6753,,,,,,,Food bank,ChIJw4tuN4BbwokRUlRTiUNMBLM,AP,"Monday,Closed","Tuesday,12:30 to 2:30PM","Wednesday,Closed","Thursday,Closed","Friday,Closed","Saturday,Closed","Sunday,Closed",
